date,age_group,bachelors,quintile,employment,respondents
2015-03-01,26-30,True,2,943.5,381
2015-03-01,26-30,True,3,1685.2,667
2015-03-01,26-30,True,4,1810.7,690
2015-03-01,26-30,True,5,1947.2,737
2015-03-01,31-40,False,1,5915.4,2310
2015-03-01,31-40,False,2,4862.6,1925
2015-03-01,31-40,False,3,2403.7,1009
2015-03-01,31-40,False,4,2443.7,1008
2015-03-01,31-40,False,5,3083.7,1255
2015-03-01,31-40,True,1,477.9,200
2015-03-01,31-40,True,2,1597.4,692
2015-03-01,31-40,True,3,3591.9,1484
2015-03-01,31-40,True,4,3757.4,1562
2015-03-01,31-40,True,5,3371.4,1365
2015-03-01,41+,False,1,13632.0,5750
2015-03-01,41+,False,2,11389.8,4827
2015-03-01,41+,False,3,7129.9,3172
2015-03-01,41+,False,4,7644.3,3296
2015-03-01,41+,False,5,9062.5,3955
2015-03-01,41+,True,1,1138.8,513
2015-03-01,41+,True,2,3522.7,1545
2015-03-01,41+,True,3,8277.9,3664
2015-03-01,41+,True,4,9459.4,4042
2015-03-01,41+,True,5,7184.0,2997
2015-04-01,16-21,False,1,2893.1,1174
2015-04-01,16-21,False,2,3500.6,1328
2015-04-01,16-21,False,3,1032.2,419
2015-04-01,16-21,False,4,538.3,197
2015-04-01,16-21,False,5,1109.5,434
2015-04-01,16-21,True,1,10.6,5
2015-04-01,16-21,True,2,36.3,13
2015-04-01,16-21,True,3,29.4,10
2015-04-01,16-21,True,4,5.3,4
2015-04-01,16-21,True,5,56.5,18
2015-04-01,22-25,False,1,2921.3,1074
2015-04-01,22-25,False,2,2862.5,1040
2015-04-01,22-25,False,3,1162.4,439
2015-04-01,22-25,False,4,793.4,307
2015-04-01,22-25,False,5,1260.1,475
2015-04-01,22-25,True,1,168.6,64
2015-04-01,22-25,True,2,590.7,219
2015-04-01,22-25,True,3,765.8,303
2015-04-01,22-25,True,4,873.8,313
2015-04-01,22-25,True,5,1000.3,366
2015-04-01,26-30,False,1,3347.2,1272
2015-04-01,26-30,False,2,2477.9,981
2015-04-01,26-30,False,3,1336.5,522
2015-04-01,26-30,False,4,1092.2,434
2015-04-01,26-30,False,5,1546.6,580
2015-04-01,26-30,True,1,247.4,96
2015-04-01,26-30,True,2,939.3,377
2015-04-01,26-30,True,3,1752.8,691
2015-04-01,26-30,True,4,1709.8,678
2015-04-01,26-30,True,5,1932.2,731
2015-04-01,31-40,False,1,6082.1,2416
2015-04-01,31-40,False,2,4889.6,1974
2015-04-01,31-40,False,3,2513.5,1065
2015-04-01,31-40,False,4,2559.8,1048
2015-04-01,31-40,False,5,2989.2,1250
2015-04-01,31-40,True,1,439.4,191
2015-04-01,31-40,True,2,1570.7,696
2015-04-01,31-40,True,3,3520.8,1501
2015-04-01,31-40,True,4,3763.3,1582
2015-04-01,31-40,True,5,3311.1,1353
2015-04-01,41+,False,1,13770.1,5967
2015-04-01,41+,False,2,11439.8,4955
2015-04-01,41+,False,3,7171.5,3267
2015-04-01,41+,False,4,7705.3,3400
2015-04-01,41+,False,5,9276.2,4075
2015-04-01,41+,True,1,1157.8,519
2015-04-01,41+,True,2,3565.2,1567
2015-04-01,41+,True,3,8289.0,3707
2015-04-01,41+,True,4,9468.1,4090
2015-04-01,41+,True,5,7112.2,2996
2015-05-01,16-21,False,1,3171.8,1268
2015-05-01,16-21,False,2,3561.0,1371
2015-05-01,16-21,False,3,1127.6,432
2015-05-01,16-21,False,4,511.9,198
2015-05-01,16-21,False,5,1039.2,400
2015-05-01,16-21,True,1,13.9,7
2015-05-01,16-21,True,2,30.6,11
2015-05-01,16-21,True,3,30.6,10
2015-05-01,16-21,True,4,16.6,9
2015-05-01,16-21,True,5,62.8,19
2015-05-01,22-25,False,1,2952.8,1106
2015-05-01,22-25,False,2,2949.2,1052
2015-05-01,22-25,False,3,1190.3,432
2015-05-01,22-25,False,4,822.4,305
2015-05-01,22-25,False,5,1203.4,461
2015-05-01,22-25,True,1,206.9,85
2015-05-01,22-25,True,2,642.6,230
2015-05-01,22-25,True,3,776.5,302
2015-05-01,22-25,True,4,841.2,316
2015-05-01,22-25,True,5,1021.4,373
2015-05-01,26-30,False,1,3267.2,1235
2015-05-01,26-30,False,2,2523.0,981
2015-05-01,26-30,False,3,1314.1,509
2015-05-01,26-30,False,4,1034.3,399
2015-05-01,26-30,False,5,1572.2,601
2015-05-01,26-30,True,1,238.3,103
2015-05-01,26-30,True,2,905.8,369
2015-05-01,26-30,True,3,1791.7,726
2015-05-01,26-30,True,4,1733.0,673
2015-05-01,26-30,True,5,1931.7,733
2015-05-01,31-40,False,1,6328.1,2497
2015-05-01,31-40,False,2,4692.0,1920
2015-05-01,31-40,False,3,2540.3,1084
2015-05-01,31-40,False,4,2492.3,1045
2015-05-01,31-40,False,5,2978.4,1245
2015-05-01,31-40,True,1,495.1,213
2015-05-01,31-40,True,2,1637.2,713
2015-05-01,31-40,True,3,3550.7,1558
2015-05-01,31-40,True,4,3713.5,1579
2015-05-01,31-40,True,5,3436.7,1379
2015-05-01,41+,False,1,13857.4,5916
2015-05-01,41+,False,2,11465.7,4914
2015-05-01,41+,False,3,7092.5,3210
2015-05-01,41+,False,4,7650.7,3317
2015-05-01,41+,False,5,8914.3,3887
2015-05-01,41+,True,1,1254.6,549
2015-05-01,41+,True,2,3580.0,1549
2015-05-01,41+,True,3,8481.1,3728
2015-05-01,41+,True,4,9358.0,4000
2015-05-01,41+,True,5,7346.4,3024
2015-06-01,16-21,False,1,3680.0,1491
2015-06-01,16-21,False,2,4031.5,1524
2015-06-01,16-21,False,3,1000.5,396
2015-06-01,16-21,False,4,554.6,210
2015-06-01,16-21,False,5,1174.3,446
2015-06-01,16-21,True,1,18.3,9
2015-06-01,16-21,True,2,51.2,18
2015-06-01,16-21,True,3,24.6,7
2015-06-01,16-21,True,4,26.2,9
2015-06-01,16-21,True,5,44.7,14
2015-06-01,22-25,False,1,2925.9,1080
2015-06-01,22-25,False,2,2912.6,1010
2015-06-01,22-25,False,3,1150.9,414
2015-06-01,22-25,False,4,840.2,301
2015-06-01,22-25,False,5,1180.1,439
2015-06-01,22-25,True,1,240.9,95
2015-06-01,22-25,True,2,686.8,237
2015-06-01,22-25,True,3,776.5,284
2015-06-01,22-25,True,4,844.4,314
2015-06-01,22-25,True,5,1103.4,383
2015-06-01,26-30,False,1,3264.6,1234
2015-06-01,26-30,False,2,2683.7,1003
2015-06-01,26-30,False,3,1285.0,494
2015-06-01,26-30,False,4,1071.4,402
2015-06-01,26-30,False,5,1538.6,570
2015-06-01,26-30,True,1,277.1,114
2015-06-01,26-30,True,2,895.2,347
2015-06-01,26-30,True,3,1649.6,658
2015-06-01,26-30,True,4,1675.3,626
2015-06-01,26-30,True,5,1913.1,715
2015-06-01,31-40,False,1,6175.0,2447
2015-06-01,31-40,False,2,4628.6,1877
2015-06-01,31-40,False,3,2628.7,1104
2015-06-01,31-40,False,4,2540.6,1041
2015-06-01,31-40,False,5,2881.3,1160
2015-06-01,31-40,True,1,514.2,207
2015-06-01,31-40,True,2,1661.3,697
2015-06-01,31-40,True,3,3550.1,1502
2015-06-01,31-40,True,4,3765.4,1564
2015-06-01,31-40,True,5,3479.2,1349
2015-06-01,41+,False,1,13784.3,5825
2015-06-01,41+,False,2,11502.9,4793
2015-06-01,41+,False,3,7003.9,3089
2015-06-01,41+,False,4,7484.7,3224
2015-06-01,41+,False,5,8978.1,3828
2015-06-01,41+,True,1,1286.5,560
2015-06-01,41+,True,2,3617.7,1495
2015-06-01,41+,True,3,8184.8,3485
2015-06-01,41+,True,4,9264.7,3907
2015-06-01,41+,True,5,7192.6,2901
2015-07-01,16-21,False,1,3999.5,1651
2015-07-01,16-21,False,2,4088.5,1571
2015-07-01,16-21,False,3,1026.0,395
2015-07-01,16-21,False,4,599.4,222
2015-07-01,16-21,False,5,1126.4,432
2015-07-01,16-21,True,1,24.7,10
2015-07-01,16-21,True,2,62.8,20
2015-07-01,16-21,True,3,58.7,19
2015-07-01,16-21,True,4,43.6,17
2015-07-01,16-21,True,5,44.0,16
2015-07-01,22-25,False,1,2952.4,1122
2015-07-01,22-25,False,2,2817.8,1019
2015-07-01,22-25,False,3,1052.2,380
2015-07-01,22-25,False,4,697.3,266
2015-07-01,22-25,False,5,1221.8,460
2015-07-01,22-25,True,1,262.8,101
2015-07-01,22-25,True,2,694.0,242
2015-07-01,22-25,True,3,746.8,275
2015-07-01,22-25,True,4,886.4,321
2015-07-01,22-25,True,5,1118.8,396
2015-07-01,26-30,False,1,3308.0,1239
2015-07-01,26-30,False,2,2682.8,1008
2015-07-01,26-30,False,3,1289.1,500
2015-07-01,26-30,False,4,1008.7,377
2015-07-01,26-30,False,5,1519.8,576
2015-07-01,26-30,True,1,341.5,134
2015-07-01,26-30,True,2,874.7,342
2015-07-01,26-30,True,3,1709.7,668
2015-07-01,26-30,True,4,1656.4,617
2015-07-01,26-30,True,5,1958.4,736
2015-07-01,31-40,False,1,6151.4,2444
2015-07-01,31-40,False,2,4583.5,1831
2015-07-01,31-40,False,3,2497.9,1048
2015-07-01,31-40,False,4,2575.5,1027
2015-07-01,31-40,False,5,2885.4,1157
2015-07-01,31-40,True,1,529.6,216
2015-07-01,31-40,True,2,1698.8,691
2015-07-01,31-40,True,3,3346.7,1431
2015-07-01,31-40,True,4,3784.4,1530
2015-07-01,31-40,True,5,3618.4,1381
2015-07-01,41+,False,1,13775.6,5773
2015-07-01,41+,False,2,11421.8,4772
2015-07-01,41+,False,3,7019.2,3058
2015-07-01,41+,False,4,7314.6,3139
2015-07-01,41+,False,5,8871.8,3781
2015-07-01,41+,True,1,1382.3,588
2015-07-01,41+,True,2,3560.6,1492
2015-07-01,41+,True,3,7938.7,3333
2015-07-01,41+,True,4,9412.3,3872
2015-07-01,41+,True,5,7481.1,2930
2015-08-01,16-21,False,1,3579.2,1524
2015-08-01,16-21,False,2,3682.0,1442
2015-08-01,16-21,False,3,987.6,388
2015-08-01,16-21,False,4,505.8,191
2015-08-01,16-21,False,5,1083.0,417
2015-08-01,16-21,True,1,10.7,5
2015-08-01,16-21,True,2,49.8,17
2015-08-01,16-21,True,3,48.7,18
2015-08-01,16-21,True,4,51.7,20
2015-08-01,16-21,True,5,56.0,19
2015-08-01,22-25,False,1,3037.7,1148
2015-08-01,22-25,False,2,2987.9,1047
2015-08-01,22-25,False,3,1115.8,408
2015-08-01,22-25,False,4,777.8,296
2015-08-01,22-25,False,5,1231.0,447
2015-08-01,22-25,True,1,252.1,96
2015-08-01,22-25,True,2,700.7,240
2015-08-01,22-25,True,3,873.6,325
2015-08-01,22-25,True,4,790.7,284
2015-08-01,22-25,True,5,1153.4,409
2015-08-01,26-30,False,1,3244.4,1251
2015-08-01,26-30,False,2,2821.8,1048
2015-08-01,26-30,False,3,1297.2,512
2015-08-01,26-30,False,4,1071.0,394
2015-08-01,26-30,False,5,1473.1,564
2015-08-01,26-30,True,1,299.4,117
2015-08-01,26-30,True,2,885.8,349
2015-08-01,26-30,True,3,1781.2,690
2015-08-01,26-30,True,4,1693.7,637
2015-08-01,26-30,True,5,1783.8,684
2015-08-01,31-40,False,1,6170.2,2441
2015-08-01,31-40,False,2,4602.4,1880
2015-08-01,31-40,False,3,2433.0,1036
2015-08-01,31-40,False,4,2485.9,1008
2015-08-01,31-40,False,5,2850.6,1159
2015-08-01,31-40,True,1,541.4,216
2015-08-01,31-40,True,2,1644.4,676
2015-08-01,31-40,True,3,3561.4,1533
2015-08-01,31-40,True,4,3781.0,1580
2015-08-01,31-40,True,5,3698.7,1444
2015-08-01,41+,False,1,13943.1,5755
2015-08-01,41+,False,2,11385.9,4756
2015-08-01,41+,False,3,7044.9,3081
2015-08-01,41+,False,4,7267.8,3107
2015-08-01,41+,False,5,8742.5,3755
2015-08-01,41+,True,1,1368.1,566
2015-08-01,41+,True,2,3518.8,1475
2015-08-01,41+,True,3,8023.7,3372
2015-08-01,41+,True,4,9688.8,4007
2015-08-01,41+,True,5,7148.8,2866
2015-09-01,16-21,False,1,3285.8,1320
2015-09-01,16-21,False,2,3172.5,1263
2015-09-01,16-21,False,3,990.6,386
2015-09-01,16-21,False,4,514.7,184
2015-09-01,16-21,False,5,1024.4,376
2015-09-01,16-21,True,1,3.9,1
2015-09-01,16-21,True,2,42.4,15
2015-09-01,16-21,True,3,22.9,9
2015-09-01,16-21,True,4,45.8,17
2015-09-01,16-21,True,5,44.6,16
2015-09-01,22-25,False,1,2894.9,1087
2015-09-01,22-25,False,2,2842.8,996
2015-09-01,22-25,False,3,1136.6,389
2015-09-01,22-25,False,4,738.8,277
2015-09-01,22-25,False,5,1205.6,431
2015-09-01,22-25,True,1,209.8,77
2015-09-01,22-25,True,2,661.7,231
2015-09-01,22-25,True,3,910.6,333
2015-09-01,22-25,True,4,885.7,317
2015-09-01,22-25,True,5,1111.4,385
2015-09-01,26-30,False,1,3396.6,1274
2015-09-01,26-30,False,2,2810.3,1032
2015-09-01,26-30,False,3,1318.2,503
2015-09-01,26-30,False,4,1129.2,415
2015-09-01,26-30,False,5,1415.0,525
2015-09-01,26-30,True,1,348.8,132
2015-09-01,26-30,True,2,888.1,353
2015-09-01,26-30,True,3,1751.0,676
2015-09-01,26-30,True,4,1722.7,666
2015-09-01,26-30,True,5,1770.6,671
2015-09-01,31-40,False,1,5977.9,2362
2015-09-01,31-40,False,2,4634.1,1884
2015-09-01,31-40,False,3,2506.9,1045
2015-09-01,31-40,False,4,2457.2,1014
2015-09-01,31-40,False,5,2946.6,1203
2015-09-01,31-40,True,1,497.0,203
2015-09-01,31-40,True,2,1630.7,656
2015-09-01,31-40,True,3,3634.5,1529
2015-09-01,31-40,True,4,3937.6,1608
2015-09-01,31-40,True,5,3675.8,1404
2015-09-01,41+,False,1,13802.8,5695
2015-09-01,41+,False,2,11458.7,4787
2015-09-01,41+,False,3,7079.9,3138
2015-09-01,41+,False,4,7293.8,3128
2015-09-01,41+,False,5,9005.7,3841
2015-09-01,41+,True,1,1214.3,506
2015-09-01,41+,True,2,3584.5,1507
2015-09-01,41+,True,3,8210.4,3476
2015-09-01,41+,True,4,9835.8,4072
2015-09-01,41+,True,5,7299.4,2966
2015-10-01,16-21,False,1,3306.1,1272
2015-10-01,16-21,False,2,3395.3,1333
2015-10-01,16-21,False,3,980.0,383
2015-10-01,16-21,False,4,546.8,202
2015-10-01,16-21,False,5,1101.0,431
2015-10-01,16-21,True,1,15.6,4
2015-10-01,16-21,True,2,31.7,11
2015-10-01,16-21,True,3,11.7,6
2015-10-01,16-21,True,4,34.8,14
2015-10-01,16-21,True,5,45.0,18
2015-10-01,22-25,False,1,2930.4,1083
2015-10-01,22-25,False,2,2718.4,970
2015-10-01,22-25,False,3,1041.4,382
2015-10-01,22-25,False,4,728.3,271
2015-10-01,22-25,False,5,1225.5,442
2015-10-01,22-25,True,1,145.4,60
2015-10-01,22-25,True,2,678.5,235
2015-10-01,22-25,True,3,877.2,317
2015-10-01,22-25,True,4,903.7,333
2015-10-01,22-25,True,5,1216.3,420
2015-10-01,26-30,False,1,3370.0,1254
2015-10-01,26-30,False,2,2803.2,1054
2015-10-01,26-30,False,3,1343.0,521
2015-10-01,26-30,False,4,1137.0,433
2015-10-01,26-30,False,5,1423.3,560
2015-10-01,26-30,True,1,307.2,117
2015-10-01,26-30,True,2,898.0,347
2015-10-01,26-30,True,3,1710.7,660
2015-10-01,26-30,True,4,1747.9,675
2015-10-01,26-30,True,5,1840.7,724
2015-10-01,31-40,False,1,6132.3,2411
2015-10-01,31-40,False,2,4566.4,1878
2015-10-01,31-40,False,3,2489.5,1023
2015-10-01,31-40,False,4,2411.4,1009
2015-10-01,31-40,False,5,2852.4,1193
2015-10-01,31-40,True,1,567.2,224
2015-10-01,31-40,True,2,1585.4,655
2015-10-01,31-40,True,3,3637.6,1556
2015-10-01,31-40,True,4,3931.3,1634
2015-10-01,31-40,True,5,3752.6,1434
2015-10-01,41+,False,1,14060.7,5827
2015-10-01,41+,False,2,11446.9,4833
2015-10-01,41+,False,3,7072.5,3135
2015-10-01,41+,False,4,7340.6,3135
2015-10-01,41+,False,5,9023.1,3900
2015-10-01,41+,True,1,1264.8,517
2015-10-01,41+,True,2,3472.0,1477
2015-10-01,41+,True,3,8379.1,3645
2015-10-01,41+,True,4,9866.2,4124
2015-10-01,41+,True,5,7350.1,3021
2015-11-01,16-21,False,1,3187.8,1244
2015-11-01,16-21,False,2,3365.6,1306
2015-11-01,16-21,False,3,1106.8,419
2015-11-01,16-21,False,4,528.8,199
2015-11-01,16-21,False,5,1065.2,419
2015-11-01,16-21,True,1,12.8,5
2015-11-01,16-21,True,2,45.2,17
2015-11-01,16-21,True,3,19.7,8
2015-11-01,16-21,True,4,33.5,13
2015-11-01,16-21,True,5,53.6,20
2015-11-01,22-25,False,1,2871.0,1056
2015-11-01,22-25,False,2,2800.1,991
2015-11-01,22-25,False,3,1091.5,404
2015-11-01,22-25,False,4,748.1,273
